Sinais,X_1,Y_1,X_2,Y_2,X_3,Y_3,X_4,Y_4,X_5,Y_5,X_6,Y_6,X_7,Y_7,X_8,Y_8,X_9,Y_9,X_10,Y_10,X_11,Y_11,X_12,Y_12,X_13,Y_13,X_14,Y_14,X_15,Y_15,X_16,Y_16,X_17,Y_17,X_18,Y_18,X_19,Y_19,X_20,Y_20,X_21,Y_21,X_22,Y_22,X_23,Y_23,X_24,Y_24,THD,THD_Classificacao
Sinal_1,0.0,0.0,0.000718,175.954953,0.001437,195.667829,0.002155,263.95107,0.002874,332.013163,0.003592,365.917934,0.00431,388.771013,0.005029,372.48945,0.005747,300.895829,0.006466,240.943213,0.007184,149.924907,0.007902,28.22886,0.008621,-15.414067,0.009339,-122.309594,0.010057,-229.433918,0.010776,-286.041186,0.011494,-361.540653,0.012213,-389.832093,0.012931,-371.979229,0.013649,-339.77714,0.014368,-281.706418,0.015086,-202.465107,0.015805,-186.368131,0.016523,-47.924887,0.09315963915164902,Precário
Sinal_2,0.0,0.0,0.000718,167.454765,0.001437,223.833363,0.002155,278.874623,0.002874,317.049238,0.003592,393.427622,0.00431,375.031598,0.005029,344.315962,0.005747,309.619087,0.006466,233.673454,0.007184,150.853416,0.007902,33.21261,0.008621,-18.922268,0.009339,-126.024607,0.010057,-220.877813,0.010776,-294.019872,0.011494,-342.751671,0.012213,-364.05471,0.012931,-400.070022,0.013649,-331.418058,0.014368,-285.532375,0.015086,-235.651841,0.015805,-182.699037,0.016523,-43.38231,0.09276676878356313,Precário
Sinal_3,0.0,0.0,0.000718,157.796475,0.001437,191.893222,0.002155,294.764724,0.002874,320.707497,0.003592,392.762962,0.00431,385.394933,0.005029,340.931515,0.005747,311.603356,0.006466,222.18821,0.007184,153.188729,0.007902,49.897661,0.008621,-31.635462,0.009339,-134.46395,0.010057,-208.292867,0.010776,-294.745003,0.011494,-339.875624,0.012213,-371.360782,0.012931,-404.192891,0.013649,-329.183651,0.014368,-305.732311,0.015086,-210.742571,0.015805,-164.244592,0.016523,-46.261244,0.07990536681765575,Adequado
Sinal_4,0.0,0.0,0.000718,174.348732,0.001437,203.303527,0.002155,290.306621,0.002874,347.829314,0.003592,358.174221,0.00431,376.099652,0.005029,353.305288,0.005747,322.441086,0.006466,223.440258,0.007184,125.47678,0.007902,64.154127,0.008621,-45.012843,0.009339,-114.34357,0.010057,-198.654282,0.010776,-309.508172,0.011494,-348.354801,0.012213,-373.964198,0.012931,-363.387449,0.013649,-349.259176,0.014368,-309.740937,0.015086,-213.642482,0.015805,-185.604804,0.016523,-47.055914,0.0955484373974967,Precário
Sinal_5,0.0,0.0,0.000718,192.541127,0.001437,184.031928,0.002155,300.341482,0.002874,333.795146,0.003592,363.279706,0.00431,380.894225,0.005029,351.470573,0.005747,308.317583,0.006466,219.937942,0.007184,162.619375,0.007902,66.963643,0.008621,-44.51918,0.009339,-147.766577,0.010057,-207.04791,0.010776,-290.848627,0.011494,-347.354568,0.012213,-374.517184,0.012931,-373.762014,0.013649,-333.408578,0.014368,-318.912705,0.015086,-198.54966,0.015805,-193.256695,0.016523,-59.616167,0.10869266313605641,Crítico
Sinal_6,0.0,0.0,0.000718,160.49191,0.001437,201.783152,0.002155,271.685882,0.002874,339.177818,0.003592,370.388382,0.00431,379.757647,0.005029,341.330194,0.005747,306.997306,0.006466,254.836472,0.007184,159.92393,0.007902,60.11955,0.008621,-40.183317,0.009339,-139.701393,0.010057,-238.101762,0.010776,-300.262326,0.011494,-332.912422,0.012213,-374.93039,0.012931,-375.486835,0.013649,-346.659933,0.014368,-289.012935,0.015086,-210.662646,0.015805,-174.499389,0.016523,-41.127399,0.06923586921829555,Adequado
Sinal_7,0.0,0.0,0.000718,150.972192,0.001437,191.28544,0.002155,309.263753,0.002874,313.138763,0.003592,365.034197,0.00431,372.387918,0.005029,340.909681,0.005747,335.635128,0.006466,242.336089,0.007184,161.365415,0.007902,62.883834,0.008621,-41.606532,0.009339,-144.277603,0.010057,-223.971361,0.010776,-321.777349,0.011494,-343.896268,0.012213,-361.135069,0.012931,-377.942469,0.013649,-314.663915,0.014368,-319.364027,0.015086,-213.912718,0.015805,-156.90878,0.016523,-44.765846,0.07721900739446408,Adequado
Sinal_8,0.0,0.0,0.000718,181.947257,0.001437,176.318586,0.002155,273.032696,0.002874,330.362616,0.003592,390.01599,0.00431,373.379674,0.005029,351.437726,0.005747,314.111417,0.006466,228.034645,0.007184,170.424815,0.007902,52.566324,0.008621,-32.677928,0.009339,-149.636612,0.010057,-218.270804,0.010776,-294.821933,0.011494,-351.664278,0.012213,-363.436466,0.012931,-396.203395,0.013649,-340.549643,0.014368,-290.474433,0.015086,-188.148064,0.015805,-183.730987,0.016523,-55.681144,0.09663397587553965,Precário
Sinal_9,0.0,0.0,0.000718,173.042468,0.001437,167.302593,0.002155,279.219957,0.002874,337.987133,0.003592,381.645178,0.00431,379.357428,0.005029,358.683198,0.005747,294.750245,0.006466,232.285187,0.007184,183.609467,0.007902,45.24052,0.008621,-26.222284,0.009339,-157.806007,0.010057,-229.095208,0.010776,-275.70384,0.011494,-353.017787,0.012213,-373.538087,0.012931,-387.796083,0.013649,-344.789499,0.014368,-299.361482,0.015086,-181.293517,0.015805,-173.635465,0.016523,-53.753813,0.09389972083295971,Precário
Sinal_10,0.0,0.0,0.000718,168.437377,0.001437,191.112522,0.002155,295.488666,0.002874,313.479394,0.003592,379.332307,0.00431,375.483252,0.005029,340.355038,0.005747,307.348744,0.006466,243.931882,0.007184,190.261555,0.007902,55.062091,0.008621,-33.605947,0.009339,-166.103088,0.010057,-237.834554,0.010776,-291.897648,0.011494,-339.269446,0.012213,-363.548273,0.012931,-390.632186,0.013649,-319.925157,0.014368,-305.974929,0.015086,-209.53207,0.015805,-172.751921,0.016523,-50.822096,0.09028796607410673,Precário
