Sinais,X_1,Y_1,X_2,Y_2,X_3,Y_3,X_4,Y_4,X_5,Y_5,X_6,Y_6,X_7,Y_7,X_8,Y_8,X_9,Y_9,X_10,Y_10,X_11,Y_11,X_12,Y_12,X_13,Y_13,X_14,Y_14,X_15,Y_15,X_16,Y_16,X_17,Y_17,X_18,Y_18,X_19,Y_19,X_20,Y_20,X_21,Y_21,X_22,Y_22,X_23,Y_23,X_24,Y_24,THD,THD_Classificacao
Sinal_1,0.0,0.0,0.000718,181.439896,0.001437,172.042027,0.002155,282.973201,0.002874,333.402891,0.003592,388.696578,0.00431,380.86569,0.005029,340.042598,0.005747,300.84931,0.006466,240.254924,0.007184,174.244544,0.007902,42.994102,0.008621,-25.168704,0.009339,-148.632846,0.010057,-232.438429,0.010776,-286.486441,0.011494,-336.357506,0.012213,-369.266683,0.012931,-397.303357,0.013649,-340.600973,0.014368,-301.497316,0.015086,-186.090015,0.015805,-181.383416,0.016523,-56.780034,0.1002179808163062,Crítico
Sinal_2,0.0,0.0,0.000718,184.193811,0.001437,186.391336,0.002155,293.706796,0.002874,320.029891,0.003592,371.162258,0.00431,383.027216,0.005029,341.624894,0.005747,311.595972,0.006466,236.861401,0.007184,172.740554,0.007902,64.182787,0.008621,-41.909419,0.009339,-154.34874,0.010057,-224.624382,0.010776,-297.657075,0.011494,-338.624907,0.012213,-372.622495,0.012931,-383.791501,0.013649,-323.081,0.014368,-308.442553,0.015086,-201.621816,0.015805,-186.371424,0.016523,-56.406001,0.09826659663373497,Precário
Sinal_3,0.0,0.0,0.000718,164.004733,0.001437,168.399149,0.002155,289.134511,0.002874,351.364328,0.003592,372.779188,0.00431,370.749926,0.005029,353.821629,0.005747,313.377481,0.006466,227.284631,0.007184,160.600832,0.007902,59.510708,0.008621,-38.924764,0.009339,-143.068887,0.010057,-213.863974,0.010776,-296.225986,0.011494,-351.281993,0.012213,-365.761516,0.012931,-376.811606,0.013649,-354.426387,0.014368,-311.897709,0.015086,-183.689119,0.015805,-166.42572,0.016523,-49.78814,0.08127315284949817,Precário
Sinal_4,0.0,0.0,0.000718,178.417903,0.001437,181.564177,0.002155,269.865369,0.002874,345.209596,0.003592,375.941749,0.00431,390.203339,0.005029,343.140923,0.005747,293.501652,0.006466,249.181172,0.007184,161.257704,0.007902,49.274959,0.008621,-31.446608,0.009339,-137.817354,0.010057,-236.431486,0.010776,-285.509041,0.011494,-331.710309,0.012213,-384.610866,0.012931,-382.728124,0.013649,-351.300095,0.014368,-292.092221,0.015086,-189.521641,0.015805,-184.824364,0.016523,-51.036139,0.09298124615980793,Precário
Sinal_5,0.0,0.0,0.000718,159.080213,0.001437,208.876613,0.002155,310.99505,0.002874,332.774551,0.003592,357.821138,0.00431,379.0554,0.005029,343.114967,0.005747,308.216764,0.006466,233.708896,0.007184,153.603982,0.007902,62.951709,0.008621,-42.329826,0.009339,-137.293057,0.010057,-217.017658,0.010776,-296.493359,0.011494,-337.084186,0.012213,-373.394848,0.012931,-367.631566,0.013649,-332.346375,0.014368,-324.161809,0.015086,-226.914361,0.015805,-170.360367,0.016523,-43.343156,0.08030400297655768,Precário
Sinal_6,0.0,0.0,0.000718,158.005519,0.001437,181.3885,0.002155,280.759178,0.002874,328.888695,0.003592,368.56623,0.00431,392.51962,0.005029,351.735368,0.005747,318.208028,0.006466,226.85839,0.007184,155.103584,0.007902,83.984347,0.008621,-58.67418,0.009339,-145.83661,0.010057,-207.339756,0.010776,-304.890288,0.011494,-345.831319,0.012213,-385.907833,0.012931,-379.82973,0.013649,-332.720675,0.014368,-298.516804,0.015086,-195.212907,0.015805,-165.243231,0.016523,-44.933126,0.07389099783833264,Adequado
Sinal_7,0.0,0.0,0.000718,174.854851,0.001437,200.029462,0.002155,279.148538,0.002874,316.290396,0.003592,366.913042,0.00431,356.060536,0.005029,376.386757,0.005747,327.76529,0.006466,223.166297,0.007184,181.658659,0.007902,58.933791,0.008621,-36.786268,0.009339,-161.917763,0.010057,-215.918383,0.010776,-301.394707,0.011494,-380.291723,0.012213,-353.94796,0.012931,-370.83803,0.013649,-325.291676,0.014368,-290.18961,0.015086,-212.955462,0.015805,-182.685285,0.016523,-50.153886,0.09618205026794667,Precário
Sinal_8,0.0,0.0,0.000718,175.92403,0.001437,196.561924,0.002155,290.635984,0.002874,310.315651,0.003592,356.888813,0.00431,386.588034,0.005029,354.060384,0.005747,318.02154,0.006466,248.830062,0.007184,162.613374,0.007902,48.671659,0.008621,-30.62083,0.009339,-139.689609,0.010057,-234.358164,0.010776,-305.59638,0.011494,-348.971942,0.012213,-380.842908,0.012931,-370.65961,0.013649,-312.454396,0.014368,-302.749373,0.015086,-211.22664,0.015805,-182.346047,0.016523,-51.261109,0.09037178073450536,Precário
Sinal_9,0.0,0.0,0.000718,177.050865,0.001437,204.487919,0.002155,287.706061,0.002874,343.776726,0.003592,370.337852,0.00431,360.638149,0.005029,353.039836,0.005747,294.460756,0.006466,233.174308,0.007184,186.327853,0.007902,58.674581,0.008621,-36.746898,0.009339,-163.98964,0.010057,-228.736371,0.010776,-276.799595,0.011494,-348.349558,0.012213,-357.898033,0.012931,-371.515477,0.013649,-350.291252,0.014368,-304.045249,0.015086,-215.875854,0.015805,-186.891995,0.016523,-49.173586,0.09546103150842664,Precário
Sinal_10,0.0,0.0,0.000718,141.076689,0.001437,187.535663,0.002155,287.054907,0.002874,321.970711,0.003592,379.721939,0.00431,381.000282,0.005029,357.876706,0.005747,310.7006,0.006466,231.965409,0.007184,168.853718,0.007902,50.462533,0.008621,-31.282329,0.009339,-147.02308,0.010057,-222.109876,0.010776,-292.613572,0.011494,-354.731323,0.012213,-373.755785,0.012931,-388.439138,0.013649,-330.019078,0.014368,-299.149596,0.015086,-206.251405,0.015805,-149.942848,0.016523,-39.586801,0.053586433217544936,Adequado
